Exercise,Reps,Date
push_up,1,2025-04-08 13:56:20
push_up,0,2025-04-08 14:11:04
hammer_curl,0,2025-04-08 14:17:03
hammer_curl,0,2025-04-08 14:19:17
hammer_curl,0,2025-04-08 14:52:13
hammer_curl,0,2025-04-08 14:53:02
hammer_curl,6,2025-04-08 14:54:45
hammer_curl,11,2025-04-08 14:56:57
push_up,4,2025-04-08 14:57:47
hammer_curl,8,2025-04-08 15:02:10
hammer_curl,8,2025-04-08 15:04:10
hammer_curl,8,2025-04-08 15:14:09
hammer_curl,5,2025-04-08 15:18:40
push_up,2,2025-04-08 15:20:49
hammer_curl,7,2025-04-08 15:22:22
hammer_curl,4,2025-04-08 15:24:30
hammer_curl,13,2025-04-08 15:27:08
hammer_curl,3,2025-04-08 15:29:33
squat,3,2025-04-08 15:36:35
squat,3,2025-04-08 15:45:15
squat,3,2025-04-08 15:47:50
hammer_curl,3,2025-04-08 15:51:43
hammer_curl,0,2025-04-08 15:55:10
hammer_curl,2,2025-04-08 15:58:00
push_up,2,2025-04-08 16:08:33
push_up,2,2025-04-08 16:13:35
push_up,1,2025-04-08 16:15:02
push_up,3,2025-04-08 16:18:58
push_up,1,2025-04-08 16:21:36
push_up,4,2025-04-08 16:23:43
push_up,2,2025-04-08 16:25:10
push_up,0,2025-04-08 16:27:25
squat,1,2025-04-08 16:29:11
squat,1,2025-04-08 16:31:55
squat,1,2025-04-08 16:32:59
squat,13,2025-04-08 16:35:37
squat,2,2025-04-08 16:37:13
hammer_curl,3,2025-04-08 16:38:29
push_up,0,2025-04-08 16:38:47
hammer_curl,28,2025-04-08 16:59:39
push_up,0,2025-04-08 17:19:01
squat,0,2025-04-08 17:19:22
hammer_curl,17,2025-04-08 21:08:48
push_up,0,2025-04-08 21:09:28
hammer_curl,1,2025-04-08 22:47:08
hammer_curl,1,2025-04-08 22:50:16
